#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2
#Serial Number: SN:210321AE2F23
#Date Time: 2020-08-20 19:00:15.597

Channel 2 (V),Math 1 (A)
4.285315182441372,0.0008085543402611393
4.248238745307638,0.0008085543402611393
4.207454664460497,0.0008085543402611393
4.170378227326747,0.0008006982581800457
4.129594146479641,0.0008085543402611357
4.088810065632497,0.0008006982581800457
4.048025984785391,0.0008085543402611357
4.014657191365012,0.0008085543402611393
3.981288397944622,0.0008085543402611393
3.936796673384142,0.0008085543402611393
3.899720236250372,0.0008085543402611393
3.862643799116622,0.0008085543402611393
3.818152074556143,0.0008085543402611393
3.781075637422372,0.0008085543402611393
3.747706844002012,0.0008085543402611393
3.706922763154891,0.0008085543402611393
3.666138682307747,0.0008085543402611393
3.629062245174014,0.0008085543402611393
3.588278164326872,0.0008085543402611393
3.551201727193122,0.0008085543402611393
3.514125290059389,0.0008085543402611393
3.480756496638997,0.0008006982581800457
3.439972415791891,0.0008085543402611357
3.402895978658139,0.0008085543402611393
3.362111897810997,0.0008006982581800457
3.325035460677264,0.0008085543402611357
3.287959023543497,0.0008006982581800457
3.250882586409747,0.0008006982581800457
3.210098505562641,0.0008006982581800457
3.176729712142247,0.0008006982581800457
3.135945631295141,0.0008006982581800457
3.098869194161389,0.0008006982581800457
3.061792757027622,0.0008006982581800457
3.028423963607263,0.0008006982581800457
2.991347526473497,0.0008006982581800457
2.954271089339747,0.0008006982581800457
2.917194652206014,0.0008006982581800457
2.880118215072247,0.0008006982581800457
2.839334134225141,0.0008006982581800457
2.805965340804762,0.0008006982581800457
2.772596547384372,0.0008006982581800457
2.735520110250639,0.0008006982581800457
2.694736029403497,0.0008006982581800457
2.661367235983122,0.0008006982581800457
2.624290798849389,0.0008006982581800457
2.590922005428997,0.0008006982581800457
2.557553212008637,0.0008006982581800457
2.520476774874889,0.0008006982581800457
2.483400337741122,0.0008006982581800457
2.450031544320762,0.0007928421760989555
2.412955107186997,0.0008006982581800457
2.375878670053247,0.0008006982581800457
2.346217520346261,0.0008006982581800457
2.309141083212497,0.0007928421760989519
2.272064646078764,0.0007928421760989519
2.238695852658388,0.0008006982581800421
2.205327059237998,0.0007928421760989519
2.168250622104265,0.0008006982581800421
2.138589472397248,0.0008006982581800457
2.108928322690248,0.0007928421760989519
2.071851885556514,0.0007928421760989519
2.034775448422748,0.0008006982581800457
2.005114298715761,0.0008006982581800457
1.968037861582014,0.0008006982581800457
1.934669068161623,0.0007928421760989519
1.905007918454636,0.0008006982581800421
1.871639125034248,0.0007928421760989519
1.838270331613873,0.0008006982581800457
1.804901538193513,0.0007928421760989555
1.771532744773123,0.0008006982581800457
1.738163951352763,0.0007928421760989555
1.712210445359134,0.0008006982581800421
1.682549295652123,0.0008006982581800457
1.649180502231763,0.0008006982581800457
1.615811708811373,0.0007928421760989519
1.586150559104373,0.0007928421760989519
1.552781765684013,0.0007928421760989519
1.523120615976998,0.0007928421760989519
1.497167109983385,0.0007928421760989519
1.467505960276386,0.0007928421760989519
1.434137166855998,0.0007928421760989519
1.400768373435638,0.0007928421760989519
1.371107223728623,0.0007928421760989519
1.337738430308248,0.0007928421760989519
1.311784924314634,0.0007928421760989519
1.285831418320998,0.0007849860940178583
1.256170268614011,0.0007928421760989483
1.226509118907011,0.0007928421760989519
1.196847969199998,0.0007928421760989519
1.167186819493011,0.0007928421760989519
1.141233313499373,0.0007928421760989519
1.115279807505748,0.0007928421760989519
1.085618657798761,0.0007928421760989519
1.059665151805123,0.0007928421760989519
1.030004002098136,0.0007928421760989519
1.00405049610451,0.0007849860940178619
0.9743893463974977,0.0007928421760989519
0.9521434841172579,0.0007928421760989519
0.9261899781236229,0.0007928421760989519
0.8965288284166228,0.0007928421760989519
0.8705753224230095,0.0007849860940178619
0.8446218164293728,0.0007928421760989519
0.8186683104357597,0.0007928421760989519
0.7927148044421346,0.0007849860940178619
0.7704689421618729,0.0007849860940178583
0.7482230798816331,0.0007928421760989483
0.7222695738879978,0.0007928421760989519
0.6963160678943729,0.0007849860940178583
0.6703625619007596,0.0007849860940178583
0.6481166996204979,0.0007849860940178583
0.6258708373402581,0.0007849860940178583
0.6036249750600079,0.0007849860940178583
0.5813791127797479,0.0007849860940178583
0.5554256067861347,0.0007849860940178583
0.533179744505873,0.0007849860940178583
0.5072262385122479,0.0007849860940178583
0.4886880199453814,0.0007849860940178583
0.4701498013784979,0.0007849860940178583
0.4441962953848848,0.0007849860940178583
0.4219504331046229,0.0007849860940178583
0.3997045708243729,0.0007849860940178583
0.3811663522575064,0.0007849860940178583
0.358920489977248,0.0007849860940178583
0.340382271410373,0.0007849860940178583
0.3218440528435064,0.0007849860940178583
0.303305834276623,0.0007849860940178583
0.2810599719963831,0.0007849860940178583
0.262521753429498,0.0007849860940178583
0.243983534862623,0.0007771300119367647
0.2291529600091298,0.0007771300119367647
0.218030028868998,0.0007692739298556711
0.203199454015498,0.0007614178477745773
0.1920765228753781,0.0007457056836123972
0.180953591735248,0.000722137437369109
0.1735383043085014,0.0007064252732069288
0.166123016881748,0.0006828570269636406
0.162415373168373,0.0006671448628014534
0.1550000857416264,0.0006435766165581831
0.151292442028248,0.0006200083703148913
0.1475847983148713,0.0005964401240715995
0.1438771546014997,0.0005728718778283402
0.136461867174748,0.0005493036315850484
0.1327542234613747,0.0005257353853417781
0.129046579747998,0.0005021671390984863
0.125338936034623,0.0004785988928552053
0.1216312923212497,0.0004550306466119351
0.121631292321248,0.0004314624003686433
0.1179236486078747,0.0004078941541253731
