#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2
#Serial Number: SN:210321AE2F23
#Date Time: 2020-08-13 20:22:49.900

Math 1 (V),Math 2 (V)
0.3511720512474282,6.694337206623083e-06
0.3548644098255423,6.694337206623083e-06
0.3548796949608032,2.98669349324977e-06
0.3474949778045752,2.986693493248084e-06
0.3400949755130895,6.694337206621398e-06
0.3290026146434831,1.040198091999808e-05
0.3290026146434831,1.040198091999808e-05
0.3290178997787441,6.694337206624769e-06
0.3253408263358927,2.98669349324977e-06
0.3179408240444054,6.694337206621398e-06
0.314263750601549,2.986693493248084e-06
0.314248465466288,6.694337206621398e-06
0.314248465466288,6.694337206623083e-06
0.303171389731951,6.694337206623083e-06
0.303171389731946,6.694337206623083e-06
0.2957713874404603,1.04019809199964e-05
0.2920790288623446,1.040198091999808e-05
0.2920943139976039,6.694337206623083e-06
0.2847095968413792,6.694337206623083e-06
0.2810019531280008,1.040198091999808e-05
0.2773248796851495,6.694337206624769e-06
0.2773401648204087,2.986693493248084e-06
0.2773401648204087,2.986693493248084e-06
0.2625554453726984,6.694337206621398e-06
0.2625554453726917,6.694337206623083e-06
0.2588783719298403,2.98669349324977e-06
0.2588783719298386,2.986693493248084e-06
0.2477860110602406,6.694337206621398e-06
0.2403860087687466,1.040198091999808e-05
0.2441089376173809,2.986693493251456e-06
0.2441089376173826,2.986693493248084e-06
0.2478012961954949,2.986693493248084e-06
0.2404318641745329,-7.209502201252285e-07
0.2293395033049315,2.986693493246398e-06
0.2256318595915532,6.694337206621398e-06
0.2145242135866874,1.410962463337308e-05
0.2145394987219484,1.040198091999977e-05
0.2182624275705844,2.986693493248084e-06
0.2071547815657254,1.040198091999471e-05
0.1997853495447533,6.694337206623083e-06
0.1998006346800143,2.98669349324977e-06
0.1924159175237896,2.986693493248084e-06
0.1850159152323006,6.694337206621398e-06
0.1813235566541849,6.694337206623083e-06
0.1813388417894441,2.986693493248084e-06
0.1813388417894441,2.986693493248084e-06
0.1776311980760692,6.694337206623083e-06
0.1702464809198445,6.694337206623083e-06
0.1665541223417271,6.694337206623083e-06
0.1517694028940167,1.04019809199964e-05
0.1554617614721224,1.040198091999808e-05
0.1517694028940117,1.040198091999808e-05
0.15176940289401,1.040198091999808e-05
0.144384685737782,1.040198091999808e-05
0.1481076145864162,2.986693493251456e-06
0.144399970873043,6.694337206623083e-06
0.133307610003445,1.04019809199964e-05
0.1333076100034399,1.040198091999808e-05
0.1333076100034399,1.040198091999808e-05
0.1296305365605885,6.694337206624769e-06
0.1259381779824728,6.694337206623083e-06
0.1222611045396215,2.98669349324977e-06
0.1111687436700167,6.694337206623083e-06
0.103799311649053,2.98669349324977e-06
0.1074916702271637,2.986693493248084e-06
0.09639930935756569,6.694337206621398e-06
0.09269166564418735,1.04019809199964e-05
0.0889993070660733,1.040198091999808e-05
0.08162987504510791,6.694337206624769e-06
0.08161458990984358,1.040198091999808e-05
0.07052222904024558,1.41096246333714e-05
0.07793751646699053,6.694337206623083e-06
0.07424515788887819,6.694337206623083e-06
0.07055279931076248,6.694337206623083e-06
0.06686044073265013,6.694337206623083e-06
0.0594604384411628,1.04019809199964e-05
0.05947572357642041,6.694337206624769e-06
0.04836807757156145,1.410962463336971e-05
0.04469100412870335,1.040198091999808e-05
0.05579865013356231,2.986693493251456e-06
0.04472157439922529,2.986693493248084e-06
0.04102921582111295,2.986693493248084e-06
0.03735214237825822,-7.209502201269147e-07
0.02625978150866022,2.986693493246398e-06
0.02256742293054284,2.986693493248084e-06
0.01887506435242713,2.986693493248084e-06
0.01885977921716617,6.694337206621398e-06
0.007767418347563108,1.040198091999808e-05
0.01518270577430974,2.986693493251456e-06
0.007767418347563108,1.040198091999808e-05
0.0003827011913384217,1.040198091999808e-05
-0.006986730829632007,6.694337206623083e-06
-0.01067908940774435,6.694337206623083e-06
-0.01067908940774603,6.694337206623083e-06
-0.01437144798586005,6.694337206623083e-06
-0.01435616285059909,2.98669349324977e-06
-0.0217561651420881,6.694337206623083e-06
-0.03283324087642513,6.694337206623083e-06
-0.02912559716305517,2.986693493248084e-06
-0.02544852372020379,6.694337206621398e-06
-0.03654088458980013,1.04019809199964e-05
-0.03654088458980517,1.040198091999808e-05
-0.04760267518888123,6.694337206624769e-06
-0.05500267748037529,1.040198091999808e-05
-0.05127974863174101,2.986693493251456e-06
-0.05497210720985334,2.986693493248084e-06
-0.06977211179282465,1.040198091999471e-05
-0.06977211179283138,1.040198091999808e-05
-0.06974154152230944,2.986693493251456e-06
-0.08081861725664646,2.986693493248084e-06
-0.08452626097002483,6.694337206621398e-06
-0.08823390468339981,1.04019809199964e-05
-0.07712625867853747,2.986693493248084e-06
-0.08452626097002314,6.694337206621398e-06
-0.08821861954814053,6.694337206623083e-06
-0.09191097812625287,6.694337206623083e-06
-0.09928041014722161,2.986693493248084e-06
-0.09928041014722161,2.986693493248084e-06
-0.1066651273034463,2.986693493248084e-06
-0.1140651295949353,6.694337206621398e-06
-0.1214498467511634,6.694337206623083e-06
-0.1214345616159058,2.986693493248084e-06
-0.1214345616159058,2.986693493248084e-06
-0.1288192787721338,2.986693493248084e-06
-0.1436192833551051,1.040198091999471e-05
-0.1436192833551118,1.040198091999808e-05
-0.1362192810636262,6.694337206624769e-06
-0.1362039959283619,2.98669349324977e-06
-0.1510040005113399,1.040198091999808e-05
-0.1509887153760789,6.694337206624769e-06
-0.1546810739541929,6.694337206623083e-06
-0.1583734325323053,6.694337206623083e-06
-0.1509734302408179,2.986693493248084e-06
